slug,impressions,clicks,ctr,avg_position,bucket
ai-voice-invoicing-2026-standard,0,0,0.0000,unknown,C
air-conditioning-emergency-call-out-invoice,2,0,0.0000,1.0,C
appliance-repair-invoice-template-australia,0,0,0.0000,unknown,D
arborist-invoice-template-australia,0,0,0.0000,unknown,D
best-quote-and-invoice-software-for-tradies,256,0,0.0000,70.42,B
beyond-chatgpt-dedicated-voice-invoicing,0,0,0.0000,unknown,C
builder-owes-you-subcontractor-payment-australia,2,0,0.0000,7.0,C
built-by-someone-else-tradie-invoicing,2,0,0.0000,3.0,C
built-for-people-who-dont-type,0,0,0.0000,unknown,C
bulk-goods-wholesaler-quoting-gmail,0,0,0.0000,unknown,D
can-chatgpt-generate-invoices-tradie-guide,44,0,0.0000,23.05,B
can-i-invoice-without-gst-australia,117,0,0.0000,12.65,D
car-detailing-invoice-template-australia,0,0,0.0000,unknown,D
cleaning-invoice-template-australia,9,0,0.0000,9.33,D
cleaning-services-voice-invoicing-tradie,0,0,0.0000,unknown,C
concreter-invoice-template-australia,9,0,0.0000,15.0,D
customer-approval-portal,1,0,0.0000,10.0,C
customer-payment-history-better-tradie,0,0,0.0000,unknown,C
customer-put-fifty-back-in-purse,0,0,0.0000,unknown,C
do-i-need-gst-as-a-sole-trader-australia,0,0,0.0000,unknown,D
dog-grooming-invoice-template-australia,0,0,0.0000,unknown,D
driveway-concrete-asphalt-voice-invoicing,0,0,0.0000,unknown,C
electrician-call-out-fee-invoice,5,0,0.0000,4.6,C
electrician-invoice-template-australia,21,0,0.0000,9.24,D
eofy-invoicing-checklist-sole-traders-australia,3,1,33.3300,6.67,C
fastest-voice-invoice-generator-gmail,0,0,0.0000,unknown,D
fastest-way-to-send-invoice-2026,0,0,0.0000,unknown,C
fencing-gate-balustrade-quoting-gmail,0,0,0.0000,unknown,D
fencing-invoice-template-australia,0,0,0.0000,unknown,D
fergus-alternative-voice-invoicing-tradie,0,0,0.0000,unknown,C
fly-screen-job,0,0,0.0000,unknown,C
forgotten-invoices-annual-cost,11,0,0.0000,4.09,C
friday-pub-test-batch-invoicing-tradies,0,0,0.0000,unknown,C
garden-shed-kit-barn-quoting-gmail,0,0,0.0000,unknown,D
gardening-invoice-template-australia,29,0,0.0000,26.45,D
gmail-email-to-invoice-20-seconds,0,0,0.0000,unknown,C
gmail-quickbooks-xero-bridge,7,0,0.0000,32.0,B
gmail-to-xero-invoice-no-typing,0,0,0.0000,unknown,C
handyman-invoice-template-australia,2,0,0.0000,37.5,D
handyman-materials-and-call-out-fees,0,0,0.0000,unknown,C
handymen-multi-skill-voice-invoicing-tradie,2,0,0.0000,4.5,C
hidden-cost-of-invoicing-friction,0,0,0.0000,unknown,C
how-long-to-send-invoice-after-job-australia,94,3,3.1900,11.03,A
how-much-losing-uncharged-materials,1,0,0.0000,7.0,C
how-to-add-sku-numbers-to-invoice,0,0,0.0000,unknown,C
how-to-charge-materials-on-a-plumbing-invoice,0,0,0.0000,unknown,C
how-to-get-invoices-paid-faster-tradie-secrets,6,0,0.0000,11.33,C
how-to-invoice-appliance-repair-callouts,29,0,0.0000,49.69,B
how-to-invoice-as-a-carpenter-australia,2,0,0.0000,5.5,C
how-to-invoice-as-a-cleaner-australia,14,0,0.0000,9.36,C
how-to-invoice-as-a-gardener-australia,0,0,0.0000,unknown,C
how-to-invoice-as-a-handyman-australia,11,1,9.0900,7.0,C
how-to-invoice-as-a-mobile-mechanic-australia,4,0,0.0000,6.75,C
how-to-invoice-as-a-painter-australia,0,0,0.0000,unknown,C
how-to-invoice-as-a-pest-control-operator-australia,14,1,7.1400,7.79,C
how-to-invoice-as-a-plumber-australia,11,1,9.0900,6.73,C
how-to-invoice-as-a-sole-trader-australia-complete-guide,12,0,0.0000,10.08,C
how-to-invoice-as-an-electrician-australia,32,0,0.0000,7.09,A
how-to-invoice-cctv-and-alarm-installations,0,0,0.0000,unknown,C
how-to-invoice-commercial-cleaning-clients,2,0,0.0000,9.0,C
how-to-invoice-computer-repair-parts-and-labour,0,0,0.0000,unknown,C
how-to-invoice-concrete-progress-claims,1,0,0.0000,6.0,C
how-to-invoice-emergency-locksmith-call-outs,22,0,0.0000,65.95,B
how-to-invoice-fencing-by-the-metre,0,0,0.0000,unknown,C
how-to-invoice-mobile-car-detailing-packages,0,0,0.0000,unknown,C
how-to-invoice-mobile-dog-grooming-appointments,0,0,0.0000,unknown,C
how-to-invoice-multi-day-painting-jobs,1,0,0.0000,6.0,C
how-to-invoice-pool-chemical-treatments,0,0,0.0000,unknown,C
how-to-invoice-pool-maintenance-australia,18,0,0.0000,11.17,C
how-to-invoice-quarterly-pest-treatments,7,0,0.0000,76.71,B
how-to-invoice-rubbish-removal-tip-fees,0,0,0.0000,unknown,C
how-to-invoice-solar-with-stc-rebates,0,0,0.0000,unknown,C
how-to-invoice-switchboard-upgrades,3,0,0.0000,7.0,C
how-to-invoice-tiling-labour-and-materials,10,0,0.0000,14.8,C
how-to-invoice-tree-removal-and-stump-grinding,0,0,0.0000,unknown,C
hvac-air-con-invoice-template-australia,86,0,0.0000,35.02,D
i-never-got-it-invoice-dispute,0,0,0.0000,unknown,C
ill-pay-you-next-week-chasing-invoices,0,0,0.0000,unknown,C
invoice-without-typing,0,0,0.0000,unknown,C
invoicing-app-no-typing,2,0,0.0000,10.0,C
is-voice-invoicing-accurate,0,0,0.0000,unknown,C
is-xero-overkill-for-solo-tradies,6,0,0.0000,19.5,C
it-repair-invoice-template-australia,4,0,0.0000,7.75,D
it-reseller-msp-quote-automation-gmail,0,0,0.0000,unknown,D
lawn-mowing-repeat-invoices,0,0,0.0000,unknown,C
locksmith-invoice-template-australia,17,0,0.0000,44.88,D
miscellaneous-costing-you,0,0,0.0000,unknown,C
mobile-mechanic-call-out-fee-invoice,10,0,0.0000,7.6,C
mobile-mechanic-invoice-software-grease-free,0,0,0.0000,unknown,C
mobile-mechanic-parts-markup-invoice,0,0,0.0000,unknown,C
mobile-mechanic-toolkit-voice-to-invoice,3,0,0.0000,14.33,C
never-send-bank-details-text,5,0,0.0000,12.2,C
painter-invoice-template-australia,40,0,0.0000,14.15,D
pest-control-invoice-template-australia,47,0,0.0000,59.6,D
pest-control-invoicing-gmail-csv-pricing,0,0,0.0000,unknown,C
photographer-wedding-quote-gmail-60-seconds,0,0,0.0000,unknown,C
plumber-call-out-fee-invoice,0,0,0.0000,unknown,C
plumbing-invoice-template-australia,0,0,0.0000,unknown,D
pool-service-invoice-template-australia,2,0,0.0000,8.5,D
price-materials-automatically,0,0,0.0000,unknown,C
print-signage-custom-quote-gmail,0,0,0.0000,unknown,D
property-manager-payment-runaround,0,0,0.0000,unknown,C
quickbooks-estimates-from-gmail,0,0,0.0000,unknown,C
quickbooks-gmail-chrome-extension-missing,0,0,0.0000,unknown,C
quickbooks-gmail-invoice-shortcut,0,0,0.0000,unknown,C
quickbooks-gmail-sidebar-tab-switching,0,0,0.0000,unknown,C
read-receipts-invoicing,0,0,0.0000,unknown,C
repeat-customer-inconsistent-pricing,0,0,0.0000,unknown,C
repeat-invoices-for-cleaners,0,0,0.0000,unknown,C
rubbish-removal-invoice-template-australia,0,0,0.0000,unknown,D
scope-creep-tradie-invoice,1,0,0.0000,7.0,C
security-installer-invoice-template-australia,2,0,0.0000,10.5,D
service-trade-invoice-gmail-sidebar,0,0,0.0000,unknown,C
shipping-container-quote-builder-gmail,0,0,0.0000,unknown,D
smash-quickbooks-perfect-invoice-speed-stack,0,0,0.0000,unknown,C
smash-quickbooks-why-tradies-choose-speed,0,0,0.0000,unknown,C
smash-vs-google-docs-free-invoice-template,13,0,0.0000,9.23,D
smash-vs-invoice2go,0,0,0.0000,unknown,C
smash-vs-tradify-sole-trader,1,0,0.0000,12.0,C
smash-vs-typing-invoices,0,0,0.0000,unknown,C
smash-xero-voice-invoicing-accounting,0,0,0.0000,unknown,C
solar-installation-invoice-template-australia,0,0,0.0000,unknown,D
solo-tradies-compete-big-firms-ai-2026,0,0,0.0000,unknown,C
stop-admin-sundays-voice-invoicing,0,0,0.0000,unknown,C
stop-bringing-laptops-to-job-sites,0,0,0.0000,unknown,C
stop-double-handling-invoicing-on-the-job,0,0,0.0000,unknown,C
stop-using-your-truck-as-an-office,0,0,0.0000,unknown,C
sunday-night-invoicing-real-cost,1,0,0.0000,17.0,C
tax-deductions-sole-trader-tradie-australia,0,0,0.0000,unknown,C
the-30000-mistake-accountant-cant-save,0,0,0.0000,unknown,C
the-60-second-invoice-voice-to-invoice,0,0,0.0000,unknown,C
the-car-office-reality-check,0,0,0.0000,unknown,C
the-cost-of-a-coffee-invoicing-roi,0,0,0.0000,unknown,C
the-paperwork-tax-stop-losing-money,0,0,0.0000,unknown,C
the-verbal-quote-trap,0,0,0.0000,unknown,C
tiler-invoice-template-australia,0,0,0.0000,unknown,D
too-nice-costing-you-money,0,0,0.0000,unknown,C
turf-soil-landscaping-quote-automation,0,0,0.0000,unknown,D
ultimate-tradie-tech-stack-voice-first-2026,0,0,0.0000,unknown,C
voice-to-crm-ai-learns-customers,0,0,0.0000,unknown,C
voice-to-estimate-build-bids-without-pen,0,0,0.0000,unknown,C
voice-to-quote-feature,0,0,0.0000,unknown,C
voice-vs-typing-thumbs-costing-ten-dollars,0,0,0.0000,unknown,C
wave-invoicing-alternative-gmail,0,0,0.0000,unknown,C
what-does-a-good-tradie-business-look-like,0,0,0.0000,unknown,C
what-happens-no-abn-on-invoice-australia,0,0,0.0000,unknown,C
what-is-a-bas-sole-trader-australia,0,0,0.0000,unknown,C
what-must-be-on-a-tax-invoice-australia,1,0,0.0000,9.0,C
who-is-smash-invoices-for,4,0,0.0000,8.75,C
why-every-invoicing-app-fails,10,0,0.0000,9.1,C
why-i-deleted-my-invoice-spreadsheet,0,0,0.0000,unknown,C
why-invoicing-apps-fail-mobile-test,14,0,0.0000,78.21,B
why-trades-businesses-fail-year-3,0,0,0.0000,unknown,C
why-tradies-hate-phones-for-admin,0,0,0.0000,unknown,C
word-vs-excel-vs-app-for-invoices,184,0,0.0000,9.02,A
xero-quote-builder-gmail-extension,0,0,0.0000,unknown,C
xero-too-complicated-sole-trader,0,0,0.0000,unknown,C
